PO_No,Vendor,Order_Date,Last_Receiving_No,Last_Receipt_Date,Outstanding_Qty,Days_Difference,Delivery_Status,Month
PO/DEL/26/00285,Palak Metals Co.,2025-10-14,PPR/DEL/26/01168,2025-11-10,0.0,27.0,>15 days,2025-11
PO/DEL/26/00286,PW PRINTWAYS INDIA PRIVATE LIMITED,2025-10-14,PPR/DEL/26/01091,2025-10-16,33800.0,2.0,≤15 days,2025-10
PO/DEL/26/00287,Shiv Shakti Packaging Industries,2025-10-14,PPR/DEL/26/01163,2025-11-10,36.0,27.0,>15 days,2025-11
PO/DEL/26/00288,Leo Electrical and Electronic Corporation,2025-10-16,PPR/DEL/26/01064,2025-10-16,4150.0,0.0,≤15 days,2025-10
PO/DEL/26/00289,NEW SANGAM SPRINGS,2025-11-01,PPR/DEL/26/01121,2025-11-06,0.0,5.0,≤15 days,2025-11
PO/DEL/26/00290,Leo Electrical and Electronic Corporation,2025-11-01,PPR/DEL/26/01177,2025-11-12,625270.0,11.0,≤15 days,2025-11
PO/DEL/26/00291,Rohit Enterprise,2025-11-01,PPR/DEL/26/01174,2025-11-11,520100.0,10.0,≤15 days,2025-11
PO/DEL/26/00292,WILSON ENGINEERING INDUSTRY,2025-11-01,PPR/DEL/26/01123,2025-11-06,0.0,5.0,≤15 days,2025-11
PO/DEL/26/00293,VIKAS AUTOMATES,2025-11-01,PPR/DEL/26/01125,2025-11-06,0.0,5.0,≤15 days,2025-11
PO/DEL/26/00294,JAI BHARAT INDUSTRY,2025-11-01,PPR/DEL/26/01122,2025-11-06,0.0,5.0,≤15 days,2025-11
PO/DEL/26/00295,ARIHANT COMPONENTS,2025-11-01,PPR/DEL/26/01170,2025-11-10,0.0,9.0,≤15 days,2025-11
PO/DEL/26/00296,Khyati Enterprise,2025-11-01,PPR/DEL/26/01172,2025-11-11,79096.0,10.0,≤15 days,2025-11
PO/DEL/26/00297,ELIXIR ENGG & ELECTRICAL INDUSTRIES,2025-11-01,PPR/DEL/26/01173,2025-11-11,21000.0,10.0,≤15 days,2025-11
PO/DEL/26/00298,Drishti metals co.-HD,2025-11-01,PPR/DEL/26/01120,2025-11-06,0.0,5.0,≤15 days,2025-11
PO/DEL/26/00299,RAHUL ENTERPRISES-2,2025-11-01,NAN,,3.0,,No Receipt,NaT
PO/DEL/26/00300,Jitender plastic,2025-11-01,NAN,,160000.0,,No Receipt,NaT
PO/DEL/26/00301,PASUPATY INDUSTRIES,2025-11-01,PPR/DEL/26/01124,2025-11-06,0.0,5.0,≤15 days,2025-11
PO/DEL/26/00302,TELCON BIMETALS,2025-11-01,NAN,,36500.0,,No Receipt,NaT
PO/DEL/26/00303,Super shakti trading co,2025-11-01,NAN,,380.0,,No Receipt,NaT
PO/DEL/26/00304,KRIMCO INDUSTRIES PVT LTD,2025-11-01,PPR/DEL/26/01119,2025-11-06,650.0,5.0,≤15 days,2025-11
PO/DEL/26/00305,Club India,2025-11-01,PPR/DEL/26/01160,2025-11-08,0.0,7.0,≤15 days,2025-11
PO/DEL/26/00306,LincLite Power Controls,2025-11-01,NAN,,420.0,,No Receipt,NaT
PO/DEL/26/00307,Bhagwati Thermopack,2025-11-01,NAN,,5000.0,,No Receipt,NaT
PO/DEL/26/00308,PW PRINTWAYS INDIA PRIVATE LIMITED,2025-11-01,PPR/DEL/26/01114,2025-11-06,5920.0,5.0,≤15 days,2025-11
PO/DEL/26/00309,RAMA ENGINEERING WORKS,2025-11-01,NAN,,30000.0,,No Receipt,NaT
PO/DEL/26/00310,Palak Metals Co.,2025-11-01,PPR/DEL/26/01165,2025-11-10,0.0,9.0,≤15 days,2025-11
PO/DEL/26/00311,AMPRO INDUSTRIES,2025-11-04,PPR/DEL/26/01171,2025-11-11,1500.0,7.0,≤15 days,2025-11
PO/HAR/26/00001,Matrix Technologies,2025-04-09,PPR/HAR/26/00279,2025-04-30,0.0,21.0,>15 days,2025-04
PO/HAR/26/00002,D.R.POLYMERS PVT.LTD.,2025-04-01,PPR/HAR/26/00101,2025-04-22,0.0,21.0,>15 days,2025-04
PO/HAR/26/00003,SHREE RADHIKA PLAST LLP,2025-04-01,PPR/HAR/26/00020,2025-04-08,0.0,7.0,≤15 days,2025-04
PO/HAR/26/00004,SUNRISE POLYMER,2025-04-01,PPR/HAR/26/00090,2025-04-08,0.0,7.0,≤15 days,2025-04
PO/HAR/26/00005,PANKAJ POLYMERS,2025-04-01,PPR/HAR/26/00036,2025-04-04,0.0,3.0,≤15 days,2025-04
PO/HAR/26/00006,REPRO POLYTECH,2025-04-01,PPR/HAR/26/00043,2025-04-07,0.0,6.0,≤15 days,2025-04
PO/HAR/26/00007,RAM LAL RAM CHANDRA (INDIA) LTD.,2025-04-01,PPR/HAR/26/00140,2025-04-03,0.0,2.0,≤15 days,2025-04
PO/HAR/26/00008,Radiant Electronics,2025-04-01,PPR/HAR/26/01407,2025-09-15,0.0,167.0,>15 days,2025-09
PO/HAR/26/00009,AUTOTEK CABLES PVT.LTD.,2025-04-01,PPR/HAR/26/00149,2025-04-18,65.4,17.0,>15 days,2025-04
PO/HAR/26/00010,RUPAL PLASTICS PVT LTD,2025-04-01,PPR/HAR/26/00070,2025-04-16,0.0,15.0,≤15 days,2025-04
PO/HAR/26/00011,P.P.ASSEMBLING,2025-04-01,PPR/HAR/26/00160,2025-04-30,5.0,29.0,>15 days,2025-04
PO/HAR/26/00012,SAI PRASAD ELECTRIC WORKS,2025-04-01,PPR/HAR/26/00048,2025-04-10,0.0,9.0,≤15 days,2025-04
PO/HAR/26/00013,HITECH SCREWS & RIVETS,2025-04-01,PPR/HAR/26/00180,2025-04-30,359.2,29.0,>15 days,2025-04
PO/HAR/26/00014,SIDDHISAI INDUSTRIES,2025-04-01,PPR/HAR/26/00265,2025-04-14,540.0,13.0,≤15 days,2025-04
PO/HAR/26/00015,Jagdamba Industries,2025-04-01,NAN,,2400.0,,No Receipt,NaT
PO/HAR/26/00016,DURGESH METAL FINISHING WORKS,2025-04-01,PPR/HAR/26/00310,2025-05-08,0.0,37.0,>15 days,2025-05
PO/HAR/26/00017,GAIN ELECTRONICS,2025-04-01,PPR/HAR/26/00120,2025-04-26,0.0,25.0,>15 days,2025-04
PO/HAR/26/00018,BRS ELECTRONICS,2025-04-01,PPR/HAR/26/00173,2025-04-30,18200.0,29.0,>15 days,2025-04
PO/HAR/26/00019,PRAGATI ENTERPRISES,2025-04-01,PPR/HAR/26/00189,2025-04-29,0.0,28.0,>15 days,2025-04
PO/HAR/26/00020,TIRUPATI SALES CORPORATION,2025-04-01,PPR/HAR/26/00205,2025-04-25,17.0,24.0,>15 days,2025-04
PO/HAR/26/00021,MAHAVIR COMPUTER STATIONERY & XEROX,2025-04-01,PPR/HAR/26/00024,2025-04-14,0.0,13.0,≤15 days,2025-04
PO/HAR/26/00022,SHREE BALAJI PRINTERS,2025-04-01,PPR/HAR/26/00197,2025-04-21,0.0,20.0,>15 days,2025-04
PO/HAR/26/00023,RAJAN ELETRICALS,2025-04-01,PPR/HAR/26/00102,2025-04-22,0.0,21.0,>15 days,2025-04
PO/HAR/26/00024,LALIT ENTERPRISES,2025-04-01,PPR/HAR/26/00125,2025-04-25,10000.0,24.0,>15 days,2025-04
PO/HAR/26/00025,Acer Industries,2025-04-01,PPR/HAR/26/00167,2025-04-30,236450.0,29.0,>15 days,2025-04
PO/HAR/26/00026,PAARTH INDUSTRIES,2025-04-01,PPR/HAR/26/00050,2025-04-19,358000.0,18.0,>15 days,2025-04
PO/HAR/26/00027,G R INDUSTRIES,2025-04-01,PPR/HAR/26/00087,2025-04-21,0.0,20.0,>15 days,2025-04
PO/HAR/26/00028,C.KOTHARI & CO.,2025-04-01,PPR/HAR/26/00127,2025-04-24,12000.0,23.0,>15 days,2025-04
PO/HAR/26/00029,Wirecom India Pvt. Ltd,2025-04-01,PPR/HAR/26/00297,2025-04-19,38400.0,18.0,>15 days,2025-04
PO/HAR/26/00030,PLATINUM INDUSTRIES,2025-04-01,PPR/HAR/26/00209,2025-04-30,43700.0,29.0,>15 days,2025-04
PO/HAR/26/00031,R S ENTERPRISES,2025-04-01,PPR/HAR/26/00187,2025-04-30,43500.0,29.0,>15 days,2025-04
PO/HAR/26/00032,Ramaya Packaging,2025-04-01,PPR/HAR/26/00033,2025-04-11,0.0,10.0,≤15 days,2025-04
PO/HAR/26/00033,SRI MADHAV PACKERS,2025-04-01,PPR/HAR/26/00231,2025-04-26,179741.15,25.0,>15 days,2025-04
PO/HAR/26/00034,PW PRINTWAYS INDIA PRIVATE LIMITED,2025-04-01,PPR/HAR/26/00722,2025-06-23,54205.0,83.0,>15 days,2025-06
PO/HAR/26/00035,Kuloday Compu Forms,2025-04-01,PPR/HAR/26/00076,2025-04-18,0.0,17.0,>15 days,2025-04
PO/HAR/26/00036,Shiv Mahima Enterprises,2025-04-01,PPR/HAR/26/00168,2025-04-30,29600.0,29.0,>15 days,2025-04
PO/HAR/26/00037,Dev Packaging,2025-04-01,PPR/HAR/26/01195,2025-08-31,150.0,152.0,>15 days,2025-08
PO/HAR/26/00038,TOTAL POLY PRINT PRIVATE LIMITED,2025-04-01,PPR/HAR/26/00130,2025-04-24,8944.0,23.0,>15 days,2025-04
PO/HAR/26/00039,KANKAI ENTERPRISES,2025-04-01,PPR/HAR/26/00227,2025-04-30,0.0,29.0,>15 days,2025-04
PO/HAR/26/00040,VENUS COLOURANTS,2025-04-01,PPR/HAR/26/00153,2025-04-14,0.0,13.0,≤15 days,2025-04
PO/HAR/26/00041,VARAHI MATA ENTERPRISE,2025-04-01,PPR/HAR/26/00164,2025-04-30,0.0,29.0,>15 days,2025-04
PO/HAR/26/00042,RAJIV PLASTICS INDUSTRIES,2025-04-01,PPR/HAR/26/00074,2025-04-17,0.0,16.0,>15 days,2025-04
PO/HAR/26/00043,KHUSHAL FASTENERS,2025-04-01,PPR/HAR/26/00194,2025-04-30,0.0,29.0,>15 days,2025-04
PO/HAR/26/00044,Shree Ganesh Engineering Works,2025-04-01,PPR/HAR/26/00172,2025-04-30,470.0,29.0,>15 days,2025-04
PO/HAR/26/00045,JAI AMBE ENTERPRISE,2025-04-01,PPR/HAR/26/00190,2025-04-30,6000.0,29.0,>15 days,2025-04
PO/HAR/26/00046,ARCHANA ENTERPRISES,2025-04-01,PPR/HAR/26/00204,2025-04-25,0.0,24.0,>15 days,2025-04
PO/HAR/26/00047,GLOBAL STAR COMPONENTS PRIVATE LIMITED,2025-04-01,PPR/HAR/26/00065,2025-04-15,0.0,14.0,≤15 days,2025-04
PO/HAR/26/00048,ANSHIKA ENTERPRISES,2025-04-01,PPR/HAR/26/00008,2025-04-12,0.0,11.0,≤15 days,2025-04
PO/HAR/26/00049,ANMOL CORRUPACK PVT LTD,2025-04-01,PPR/HAR/26/00084,2025-04-11,8.0,10.0,≤15 days,2025-04
PO/HAR/26/00050,RIYANSH PACKAGING,2025-04-01,PPR/HAR/26/00089,2025-04-09,10.0,8.0,≤15 days,2025-04
PO/HAR/26/00051,SBGI,2025-04-01,PPR/HAR/26/00176,2025-04-30,1031.0,29.0,>15 days,2025-04
PO/HAR/26/00052,SWAROOP CERAMIC,2025-04-01,PPR/HAR/26/00191,2025-04-19,40.0,18.0,>15 days,2025-04
PO/HAR/26/00053,Drishti metals co.-HD,2025-04-01,NAN,,100000.0,,No Receipt,NaT
PO/HAR/26/00054,Swastik Enterprises,2025-04-01,PPR/HAR/26/00230,2025-04-30,20400.0,29.0,>15 days,2025-04
PO/HAR/26/00055,URVI PLASTIC INDUSTRIES - HD,2025-04-01,PPR/HAR/26/00042,2025-04-05,0.0,4.0,≤15 days,2025-04
PO/HAR/26/00056,ELIXIR ENGG & ELECTRICAL INDUSTRIES,2025-04-01,NAN,,2100.0,,No Receipt,NaT
PO/HAR/26/00057,NECTAR BRASS INDUSTRIES,2025-04-01,PPR/HAR/26/00053,2025-04-19,0.0,18.0,>15 days,2025-04
PO/HAR/26/00058,Venus Industries,2025-04-01,PPR/HAR/26/00159,2025-04-30,0.0,29.0,>15 days,2025-04
PO/HAR/26/00059,BNB ENTERPRISE,2025-04-01,PPR/HAR/26/00225,2025-04-22,500.0,21.0,>15 days,2025-04
PO/HAR/26/00060,Veda Excom Pvt Ltd,2025-04-01,PPR/HAR/26/00163,2025-04-30,200.0,29.0,>15 days,2025-04
PO/HAR/26/00061,K.R.Industries,2025-04-01,PPR/HAR/26/00069,2025-04-16,0.0,15.0,≤15 days,2025-04
PO/HAR/26/00062,MIREN ENTERPRISE,2025-04-01,PPR/HAR/26/00315,2025-05-08,4274.6,37.0,>15 days,2025-05
PO/HAR/26/00063,RAJESHREE INDUSTRIES,2025-04-01,PPR/HAR/26/00188,2025-04-30,0.0,29.0,>15 days,2025-04
PO/HAR/26/00064,Zenith Spray & Aerosols (P) Ltd,2025-04-01,PPR/HAR/26/00114,2025-04-28,0.0,27.0,>15 days,2025-04
PO/HAR/26/00066,CHAINA METALS,2025-04-01,PPR/HAR/26/01140,2025-08-28,70.0,149.0,>15 days,2025-08
PO/HAR/26/00067,AUTOTEK CABLES PVT.LTD.,2025-04-01,PPR/HAR/26/00151,2025-04-26,16.7,25.0,>15 days,2025-04
PO/HAR/26/00068,RIDDHI SIDDHI CORPORATION,2025-04-22,PPR/HAR/26/00384,2025-05-23,50.0,31.0,>15 days,2025-05
PO/HAR/26/00069,D.R.POLYMERS PVT.LTD.,2025-05-01,PPR/HAR/26/00373,2025-05-24,0.0,23.0,>15 days,2025-05
PO/HAR/26/00070,RUPAL PLASTICS PVT LTD,2025-05-01,PPR/HAR/26/00253,2025-05-11,0.0,10.0,≤15 days,2025-05
PO/HAR/26/00071,Veda Excom Pvt Ltd,2025-04-22,PPR/HAR/26/00178,2025-04-30,2500.0,8.0,≤15 days,2025-04
PO/HAR/26/00072,SIDDHISAI INDUSTRIES,2025-04-22,PPR/HAR/26/00208,2025-04-24,500.0,2.0,≤15 days,2025-04
PO/HAR/26/00073,R S ENTERPRISES,2025-04-22,PPR/HAR/26/00186,2025-04-30,1418.0,8.0,≤15 days,2025-04
PO/HAR/26/00074,ALFA PACKAGING,2025-04-22,PPR/HAR/26/00264,2025-05-10,0.0,18.0,>15 days,2025-05
PO/HAR/26/00075,KGK JET INDIA PRIVATE LIMITED,2025-04-22,PPR/HAR/26/00155,2025-04-30,0.0,8.0,≤15 days,2025-04
PO/HAR/26/00076,TTR Enterprises,2025-04-22,PPR/HAR/26/00098,2025-04-24,0.0,2.0,≤15 days,2025-04
PO/HAR/26/00077,SHREE BALAJI PRINTERS,2025-04-22,PPR/HAR/26/00196,2025-04-21,0.0,-1.0,No Receipt,2025-04
PO/HAR/26/00078,LALIT ENTERPRISES,2025-04-22,PPR/HAR/26/00171,2025-04-30,4000.0,8.0,≤15 days,2025-04
PO/HAR/26/00079,Wirecom India Pvt. Ltd,2025-04-22,NAN,,500000.0,,No Receipt,NaT
PO/HAR/26/00080,SRI MADHAV PACKERS,2025-04-22,NAN,,200.0,,No Receipt,NaT
PO/HAR/26/00081,Shiv Mahima Enterprises,2025-04-22,PPR/HAR/26/00142,2025-04-24,250.0,2.0,≤15 days,2025-04
PO/HAR/26/00082,D.S. Computer Graphics,2025-04-22,PPR/HAR/26/00143,2025-04-28,0.0,6.0,≤15 days,2025-04
PO/HAR/26/00083,PW PRINTWAYS INDIA PRIVATE LIMITED,2025-04-22,PPR/HAR/26/00222,2025-04-25,11260.0,3.0,≤15 days,2025-04
PO/HAR/26/00084,TOTAL POLY PRINT PRIVATE LIMITED,2025-04-22,PPR/HAR/26/00446,2025-05-31,0.0,39.0,>15 days,2025-05
PO/HAR/26/00085,RUPAL PLASTICS PVT LTD,2025-04-22,PPR/HAR/26/00192,2025-04-23,0.0,1.0,≤15 days,2025-04
PO/HAR/26/00086,KHUSHAL FASTENERS,2025-04-22,PPR/HAR/26/00195,2025-04-30,812.0,8.0,≤15 days,2025-04
PO/HAR/26/00087,HIMALAYA POLYPLAST INDUSTRY,2025-04-22,PPR/HAR/26/00104,2025-04-26,0.0,4.0,≤15 days,2025-04
PO/HAR/26/00088,SRI DURGE ENTERPRISES,2025-04-22,PPR/HAR/26/00144,2025-04-29,0.0,7.0,≤15 days,2025-04
PO/HAR/26/00089,J.N.ELECTRICALS,2025-04-22,PPR/HAR/26/00174,2025-04-30,0.0,8.0,≤15 days,2025-04
PO/HAR/26/00090,AUTOTEK CABLES PVT.LTD.,2025-04-26,PPR/HAR/26/00237,2025-05-13,0.0,17.0,>15 days,2025-05
PO/HAR/26/00091,J & K INDUSTRIES,2025-04-14,PPR/HAR/26/00133,2025-04-26,0.0,12.0,≤15 days,2025-04
PO/HAR/26/00092,SIDDHISAI INDUSTRIES,2025-04-29,NAN,,1.0,,No Receipt,NaT
PO/HAR/26/00093,TOTAL POLY PRINT PRIVATE LIMITED,2025-05-01,PPR/HAR/26/00381,2025-05-21,0.0,20.0,>15 days,2025-05
PO/HAR/26/00094,RAMESH BRASS PRODUCTS,2025-05-02,PPR/HAR/26/00443,2025-05-30,0.0,28.0,>15 days,2025-05
PO/HAR/26/00095,MAHAVIR COMPUTER STATIONERY & XEROX,2025-05-01,PPR/HAR/26/00299,2025-05-09,0.0,8.0,≤15 days,2025-05
PO/HAR/26/00096,AUTOTEK CABLES PVT.LTD.,2025-05-03,PPR/HAR/26/00238,2025-05-15,1207.1999999999998,12.0,≤15 days,2025-05
PO/HAR/26/00097,D.R.POLYMERS PVT.LTD.,2025-05-06,PPR/HAR/26/00505,2025-05-26,0.0,20.0,>15 days,2025-05
PO/HAR/26/00098,D.R.POLYMERS PVT.LTD.,2025-06-01,PPR/HAR/26/00509,2025-06-09,0.0,8.0,≤15 days,2025-06
PO/HAR/26/00099,PW PRINTWAYS INDIA PRIVATE LIMITED,2025-04-30,PPR/HAR/26/00995,2025-08-07,15251.0,99.0,>15 days,2025-08
PO/HAR/26/00100,P.P.ASSEMBLING,2025-04-30,PPR/HAR/26/00233,2025-04-29,0.0,-1.0,No Receipt,2025-04
PO/HAR/26/00101,MIREN ENTERPRISE,2025-04-30,PPR/HAR/26/00203,2025-04-25,0.0,-5.0,No Receipt,2025-04
PO/HAR/26/00102,Kuloday Compu Forms,2025-04-30,PPR/HAR/26/00201,2025-04-15,0.0,-15.0,No Receipt,2025-04
PO/HAR/26/00103,SHREE BALAJI PRINTERS,2025-04-30,PPR/HAR/26/00198,2025-04-21,0.0,-9.0,No Receipt,2025-04
PO/HAR/26/00104,Shibura Machine India Private Limited,2025-04-01,PPR/HAR/26/01138,2025-06-07,0.0,67.0,>15 days,2025-06
PO/HAR/26/00105,P.P.ASSEMBLING,2025-05-01,PPR/HAR/26/00365,2025-05-23,200.0,22.0,>15 days,2025-05
PO/HAR/26/00106,SAI PRASAD ELECTRIC WORKS,2025-05-01,PPR/HAR/26/00356,2025-05-20,0.0,19.0,>15 days,2025-05
PO/HAR/26/00107,HITECH SCREWS & RIVETS,2025-05-01,PPR/HAR/26/00449,2025-05-31,100.0,30.0,>15 days,2025-05
PO/HAR/26/00108,RAJESHREE INDUSTRIES,2025-05-01,PPR/HAR/26/00528,2025-06-12,100.0,42.0,>15 days,2025-06
PO/HAR/26/00109,J.N.ELECTRICALS,2025-05-01,NAN,,50.0,,No Receipt,NaT
PO/HAR/26/00110,ASHOK DIES WORKS,2025-05-01,PPR/HAR/26/00377,2025-05-23,0.0,22.0,>15 days,2025-05
PO/HAR/26/00111,SIDDHISAI INDUSTRIES,2025-05-01,PPR/HAR/26/00434,2025-05-29,4310.0,28.0,>15 days,2025-05
PO/HAR/26/00112,Jagdamba Industries,2025-05-01,PPR/HAR/26/00608,2025-06-03,8619.0,33.0,>15 days,2025-06
PO/HAR/26/00113,DURGESH METAL FINISHING WORKS,2025-05-01,PPR/HAR/26/00560,2025-06-10,0.0,40.0,>15 days,2025-06
PO/HAR/26/00114,R S ENTERPRISES,2025-05-01,PPR/HAR/26/00455,2025-05-31,35987.0,30.0,>15 days,2025-05
PO/HAR/26/00115,BRS ELECTRONICS,2025-05-01,PPR/HAR/26/00495,2025-05-31,11700.0,30.0,>15 days,2025-05
PO/HAR/26/00116,PRAGATI ENTERPRISES,2025-05-01,PPR/HAR/26/00503,2025-06-06,0.0,36.0,>15 days,2025-06
PO/HAR/26/00117,ELIXIR ENGG & ELECTRICAL INDUSTRIES,2025-05-01,PPR/HAR/26/00353,2025-05-22,464.0,21.0,>15 days,2025-05
PO/HAR/26/00118,TIRUPATI SALES CORPORATION,2025-05-01,PPR/HAR/26/00466,2025-05-21,67.0,20.0,>15 days,2025-05
PO/HAR/26/00119,SHREE BALAJI PRINTERS,2025-05-01,PPR/HAR/26/00737,2025-06-06,12400.0,36.0,>15 days,2025-06
PO/HAR/26/00120,RAJAN ELETRICALS,2025-05-01,PPR/HAR/26/00436,2025-05-29,0.0,28.0,>15 days,2025-05
PO/HAR/26/00121,PAARTH INDUSTRIES,2025-05-01,PPR/HAR/26/00857,2025-08-03,100000.0,94.0,>15 days,2025-08
PO/HAR/26/00122,LALIT ENTERPRISES,2025-05-01,PPR/HAR/26/00432,2025-05-27,0.0,26.0,>15 days,2025-05
PO/HAR/26/00123,Acer Industries,2025-05-01,PPR/HAR/26/00348,2025-05-24,0.0,23.0,>15 days,2025-05
PO/HAR/26/00124,G R INDUSTRIES,2025-05-01,PPR/HAR/26/00364,2025-05-23,0.0,22.0,>15 days,2025-05
PO/HAR/26/00125,C.KOTHARI & CO.,2025-05-01,PPR/HAR/26/00624,2025-06-23,0.0,53.0,>15 days,2025-06
PO/HAR/26/00126,Wirecom India Pvt. Ltd,2025-05-01,PPR/HAR/26/00645,2025-06-23,0.0,53.0,>15 days,2025-06
PO/HAR/26/00127,PLATINUM INDUSTRIES,2025-05-01,PPR/HAR/26/00456,2025-05-31,40000.0,30.0,>15 days,2025-05
PO/HAR/26/00128,SRI MADHAV PACKERS,2025-05-01,PPR/HAR/26/00439,2025-05-31,90100.0,30.0,>15 days,2025-05
PO/HAR/26/00129,RIYANSH PACKAGING,2025-05-01,PPR/HAR/26/00307,2025-05-10,2.0,9.0,≤15 days,2025-05
PO/HAR/26/00130,PW PRINTWAYS INDIA PRIVATE LIMITED,2025-05-01,PPR/HAR/26/00477,2025-05-31,14661.0,30.0,>15 days,2025-05
PO/HAR/26/00131,KANKAI ENTERPRISES,2025-05-01,PPR/HAR/26/00262,2025-05-12,0.0,11.0,≤15 days,2025-05
PO/HAR/26/00132,Shiv Mahima Enterprises,2025-05-01,PPR/HAR/26/00260,2025-05-17,1800.0,16.0,>15 days,2025-05
PO/HAR/26/00133,Dev Packaging,2025-05-01,PPR/HAR/26/00304,2025-05-19,0.0,18.0,>15 days,2025-05
PO/HAR/26/00134,SBGI,2025-05-01,PPR/HAR/26/00465,2025-05-14,95.0,13.0,≤15 days,2025-05
PO/HAR/26/00135,TOTAL POLY PRINT PRIVATE LIMITED,2025-05-01,PPR/HAR/26/00447,2025-05-31,54900.0,30.0,>15 days,2025-05
PO/HAR/26/00136,REPRO POLYTECH,2025-05-01,PPR/HAR/26/00256,2025-05-05,0.0,4.0,≤15 days,2025-05
PO/HAR/26/00137,SUNRISE POLYMER,2025-05-01,PPR/HAR/26/00257,2025-05-04,0.0,3.0,≤15 days,2025-05
PO/HAR/26/00138,PANKAJ POLYMERS,2025-05-01,PPR/HAR/26/00255,2025-05-02,0.0,1.0,≤15 days,2025-05
PO/HAR/26/00139,VARAHI MATA ENTERPRISE,2025-05-01,PPR/HAR/26/00371,2025-05-23,0.0,22.0,>15 days,2025-05
PO/HAR/26/00140,SULOCHANA ORGANIC (P) LTD,2025-05-01,PPR/HAR/26/00489,2025-05-20,1225.0,19.0,>15 days,2025-05
PO/HAR/26/00141,D.R.POLYMERS PVT.LTD.,2025-05-01,PPR/HAR/26/00249,2025-05-07,0.0,6.0,≤15 days,2025-05
PO/HAR/26/00142,RAJIV PLASTICS INDUSTRIES,2025-05-01,PPR/HAR/26/00254,2025-05-13,5.5,12.0,≤15 days,2025-05
PO/HAR/26/00143,RUPAL PLASTICS PVT LTD,2025-05-01,PPR/HAR/26/00251,2025-05-08,0.0,7.0,≤15 days,2025-05
PO/HAR/26/00144,KHUSHAL FASTENERS,2025-05-01,PPR/HAR/26/00458,2025-05-29,1300.0,28.0,>15 days,2025-05
PO/HAR/26/00145,Swastik Enterprises,2025-05-01,PPR/HAR/26/00595,2025-06-30,0.0,60.0,>15 days,2025-06
PO/HAR/26/00146,Shree Ganesh Engineering Works,2025-05-01,PPR/HAR/26/00504,2025-06-07,0.0,37.0,>15 days,2025-06
PO/HAR/26/00147,M.R.ELECTRONICS,2025-05-01,PPR/HAR/26/00437,2025-05-30,0.0,29.0,>15 days,2025-05
PO/HAR/26/00148,JAI AMBE ENTERPRISE,2025-05-01,PPR/HAR/26/00502,2025-06-10,10000.0,40.0,>15 days,2025-06
PO/HAR/26/00149,ARCHANA ENTERPRISES,2025-05-01,PPR/HAR/26/00500,2025-06-04,6000.0,34.0,>15 days,2025-06
PO/HAR/26/00150,GLOBAL STAR COMPONENTS PRIVATE LIMITED,2025-05-01,PPR/HAR/26/00283,2025-05-12,0.0,11.0,≤15 days,2025-05
PO/HAR/26/00151,Unnati Spring Technology,2025-05-01,PPR/HAR/26/00328,2025-05-17,0.0,16.0,>15 days,2025-05
PO/HAR/26/00152,ANSHIKA ENTERPRISES,2025-05-01,PPR/HAR/26/00239,2025-05-14,0.0,13.0,≤15 days,2025-05
PO/HAR/26/00153,ANMOL CORRUPACK PVT LTD,2025-05-01,PPR/HAR/26/00453,2025-05-31,81.0,30.0,>15 days,2025-05
PO/HAR/26/00154,SWAROOP CERAMIC,2025-05-01,PPR/HAR/26/00311,2025-05-07,280.0,6.0,≤15 days,2025-05
PO/HAR/26/00155,SRI DURGE ENTERPRISES,2025-05-01,PPR/HAR/26/00244,2025-05-15,450.0,14.0,≤15 days,2025-05
PO/HAR/26/00156,Drishti metals co.-HD,2025-05-01,PPR/HAR/26/00289,2025-05-03,20000.0,2.0,≤15 days,2025-05
PO/HAR/26/00157,NECTAR BRASS INDUSTRIES,2025-05-01,PPR/HAR/26/00296,2025-05-07,0.0,6.0,≤15 days,2025-05
PO/HAR/26/00158,Venus Industries,2025-05-01,PPR/HAR/26/00450,2025-05-30,0.0,29.0,>15 days,2025-05
PO/HAR/26/00159,BNB ENTERPRISE,2025-05-01,PPR/HAR/26/00418,2025-05-27,300.0,26.0,>15 days,2025-05
PO/HAR/26/00160,VIMALNATH BRASS INDUSTRIES,2025-05-01,PPR/HAR/26/00319,2025-05-19,0.0,18.0,>15 days,2025-05
PO/HAR/26/00161,BHAGYODAY PRODUCTS,2025-05-01,PPR/HAR/26/00412,2025-05-26,1.0,25.0,>15 days,2025-05
PO/HAR/26/00162,Veda Excom Pvt Ltd,2025-05-01,PPR/HAR/26/00444,2025-05-30,3241.5,29.0,>15 days,2025-05
PO/HAR/26/00163,MIREN ENTERPRISE,2025-05-01,PPR/HAR/26/00883,2025-08-04,1225.0,95.0,>15 days,2025-08
PO/HAR/26/00164,K.R.Industries,2025-05-01,PPR/HAR/26/00308,2025-05-13,0.0,12.0,≤15 days,2025-05
PO/HAR/26/00165,RAM LAL RAM CHANDRA (INDIA) LTD.,2025-05-12,PPR/HAR/26/00587,2025-06-07,59.0,26.0,>15 days,2025-06
PO/HAR/26/00166,nan,2025-05-13,NAN,,0.0,,No Receipt,NaT
PO/HAR/26/00167,AUTOTEK CABLES PVT.LTD.,2025-05-15,PPR/HAR/26/00337,2025-05-24,26.900000000000002,9.0,≤15 days,2025-05
PO/HAR/26/00168,Ramaya Packaging,2025-05-16,PPR/HAR/26/00452,2025-05-31,0.0,15.0,≤15 days,2025-05
